Gini_Index,Median_Household_Income,Year,State,Region
0.473,42492,2009,Louisiana,South
0.432,45734,2009,Maine,Northeast
0.448,69272,2009,Maryland,South
0.468,64081,2009,Massachusetts,Northeast
0.453,45255,2009,Michigan,Midwest
0.439,55616,2009,Minnesota,Midwest
0.47,36646,2009,Mississippi,South
0.45,45229,2009,Missouri,Midwest
0.431,42322,2009,Montana,West
0.44,47357,2009,Nebraska,Midwest
0.433,53341,2009,Nevada,West
0.431,60567,2009,New Hampshire,Northeast
0.465,68342,2009,New Jersey,Northeast
0.453,43028,2009,New Mexico,West
0.502,54659,2009,New York,Northeast
0.464,43674,2009,North Carolina,South
0.45,47827,2009,North Dakota,Midwest
0.453,45395,2009,Ohio,Midwest
0.46,41664,2009,Oklahoma,South
0.443,48457,2009,Oregon,West
0.46,49520,2009,Pennsylvania,Northeast
0.457,54119,2009,Rhode Island,Northeast
0.462,42442,2009,South Carolina,South
0.452,45043,2009,South Dakota,Midwest
0.467,41725,2009,Tennessee,South
0.474,48259,2009,Texas,South
0.414,55117,2009,Utah,West
0.428,51618,2009,Vermont,Northeast
0.456,59330,2009,Virginia,South
0.439,56548,2009,Washington,West
0.463,37435,2009,West Virginia,South
0.432,49993,2009,Wisconsin,Midwest
0.415,52664,2009,Wyoming,West
0.472,40474,2010,Alabama,South
0.422,64576,2010,Alaska,West
0.455,46789,2010,Arizona,West
0.458,38307,2010,Arkansas,South
0.471,57708,2010,California,West
0.457,54046,2010,Colorado,West
0.486,64032,2010,Connecticut,Northeast
0.44,55847,2010,Delaware,South
0.532,60903,2010,District of Columbia,South
0.474,44409,2010,Florida,South
0.468,46430,2010,Georgia,South
0.433,63030,2010,Hawaii,West
0.433,43490,2010,Idaho,West
0.465,52972,2010,Illinois,Midwest
0.44,44613,2010,Indiana,Midwest
0.427,47961,2010,Iowa,Midwest
0.445,48257,2010,Kansas,Midwest
0.466,40062,2010,Kentucky,South
0.475,42505,2010,Louisiana,South
0.437,45815,2010,Maine,Northeast
0.443,68854,2010,Maryland,South
0.475,62072,2010,Massachusetts,Northeast
0.451,45413,2010,Michigan,Midwest
0.44,55459,2010,Minnesota,Midwest
0.468,36851,2010,Mississippi,South
0.455,44301,2010,Missouri,Midwest
0.435,42666,2010,Montana,West
0.432,48408,2010,Nebraska,Midwest
0.448,51001,2010,Nevada,West
0.425,61042,2010,New Hampshire,Northeast
0.464,67681,2010,New Jersey,Northeast
0.464,42090,2010,New Mexico,West
0.499,54148,2010,New York,Northeast
0.464,43326,2010,North Carolina,South
0.433,48670,2010,North Dakota,Midwest
0.452,45090,2010,Ohio,Midwest
0.454,42072,2010,Oklahoma,South
0.449,46560,2010,Oregon,West
0.461,49288,2010,Pennsylvania,Northeast
0.467,52254,2010,Rhode Island,Northeast
0.461,42018,2010,South Carolina,South
0.442,45904,2010,South Dakota,Midwest
0.468,41461,2010,Tennessee,South
0.469,48615,2010,Texas,South
0.419,54744,2010,Utah,West
0.444,49406,2010,Vermont,Northeast
0.459,60674,2010,Virginia,South
0.441,55631,2010,Washington,West
0.451,38218,2010,West Virginia,South
0.43,49001,2010,Wisconsin,Midwest
0.423,53512,2010,Wyoming,West
0.4735,41415,2011,Alabama,South
0.4099,67825,2011,Alaska,West
0.46,46709,2011,Arizona,West
0.4684,38758,2011,Arkansas,South
0.4812,57287,2011,California,West
0.4588,55387,2011,Colorado,West
0.4859,65753,2011,Connecticut,Northeast
0.4404,58814,2011,Delaware,South
0.5338,63124,2011,District of Columbia,South
0.4811,44299,2011,Florida,South
0.477,46007,2011,Georgia,South
0.4301,61821,2011,Hawaii,West
0.432,43341,2011,Idaho,West
0.4718,53234,2011,Illinois,Midwest
0.4461,46438,2011,Indiana,Midwest
0.434,49427,2011,Iowa,Midwest
0.4442,48964,2011,Kansas,Midwest
0.4709,41141,2011,Kentucky,South
0.4836,41734,2011,Louisiana,South
0.4509,46033,2011,Maine,Northeast
0.4466,70004,2011,Maryland,South
0.4771,62859,2011,Massachusetts,Northeast
0.4612,45981,2011,Michigan,Midwest
0.4436,56954,2011,Minnesota,Midwest
0.4735,36919,2011,Mississippi,South
0.4611,45247,2011,Missouri,Midwest
0.4351,44222,2011,Montana,West
0.4467,50296,2011,Nebraska,Midwest
0.4526,48927,2011,Nevada,West
0.4347,62647,2011,New Hampshire,Northeast
0.4694,67458,2011,New Jersey,Northeast
0.4821,41963,2011,New Mexico,West
0.5033,55246,2011,New York,Northeast
0.4716,43916,2011,North Carolina,South
0.4448,51704,2011,North Dakota,Midwest
0.4594,45749,2011,Ohio,Midwest
0.4613,43225,2011,Oklahoma,South
0.4586,46816,2011,Oregon,West
0.4611,50228,2011,Pennsylvania,Northeast
0.4674,53636,2011,Rhode Island,Northeast
0.4648,42367,2011,South Carolina,South
0.4324,48321,2011,South Dakota,Midwest
0.4756,41693,2011,Tennessee,South
0.4771,49392,2011,Texas,South
0.4249,55869,2011,Utah,West
0.4308,52776,2011,Vermont,Northeast
0.4632,61882,2011,Virginia,South
0.4449,56835,2011,Washington,West
0.4721,38482,2011,West Virginia,South
0.437,50395,2011,Wisconsin,Midwest
0.4081,56322,2011,Wyoming,West
0.4726,41574,2012,Alabama,South
0.4232,67712,2012,Alaska,West
0.4608,47826,2012,Arizona,West
0.4632,40112,2012,Arkansas,South
0.4822,58328,2012,California,West
0.4579,56765,2012,Colorado,West
0.4356,58415,2012,Delaware,South
0.5343,66583,2012,District of Columbia,South
0.4915,67276,2012,Connecticut,Northeast
0.4828,45040,2012,Florida,South
0.4809,47209,2012,Georgia,South
0.4302,45489,2012,Idaho,West
0.4257,66259,2012,Hawaii,West
