Gini_Index,Median_Household_Income,Year,State,Region
0.4985,83771,2021,Connecticut,Northeast
0.4547,71091,2021,Delaware,South
0.5305,90088,2021,District of Columbia,South
0.4869,63062,2021,Florida,South
0.4787,66559,2021,Georgia,South
0.4552,84857,2021,Hawaii,West
0.4577,66474,2021,Idaho,West
0.4824,72205,2021,Illinois,Midwest
0.448,62743,2021,Indiana,Midwest
0.4489,65600,2021,Iowa,Midwest
0.4599,64124,2021,Kansas,Midwest
0.4757,55573,2021,Kentucky,South
0.4988,52087,2021,Louisiana,South
0.4663,64767,2021,Maine,Northeast
0.4631,90203,2021,Maryland,South
0.4893,89645,2021,Massachusetts,Northeast
0.4659,63498,2021,Michigan,Midwest
0.4493,77720,2021,Minnesota,Midwest
0.4808,48716,2021,Mississippi,South
0.4706,61847,2021,Missouri,Midwest
0.4693,63249,2021,Montana,West
0.456,66817,2021,Nebraska,Midwest
0.4726,66274,2021,Nevada,West
0.4348,88465,2021,New Hampshire,Northeast
0.4853,89296,2021,New Jersey,Northeast
0.4861,53992,2021,New Mexico,West
0.514,74314,2021,New York,Northeast
0.4801,61972,2021,North Carolina,South
0.4531,66519,2021,North Dakota,Midwest
0.4687,62262,2021,Ohio,Midwest
0.4618,55826,2021,Oklahoma,South
0.4611,71562,2021,Oregon,West
0.472,68957,2021,Pennsylvania,Northeast
0.468,74008,2021,Rhode Island,Northeast
0.476,59318,2021,South Carolina,South
0.4522,66143,2021,South Dakota,Midwest
0.4821,59695,2021,Tennessee,South
0.4784,66963,2021,Texas,South
0.4449,79449,2021,Utah,West
0.4527,72431,2021,Vermont,Northeast
0.4724,80963,2021,Virginia,South
0.4704,84247,2021,Washington,West
0.4858,51248,2021,West Virginia,South
0.4464,67125,2021,Wisconsin,Midwest
0.4638,65204,2021,Wyoming,West
0.4392,77845,2021,Alaska,West
0.4851,59674,2022,Alabama,South
0.4278,88121,2022,Alaska,West
0.4665,74568,2022,Arizona,West
0.4799,55432,2022,Arkansas,South
0.4953,91551,2022,California,West
0.4566,89302,2022,Colorado,West
0.5008,88429,2022,Connecticut,Northeast
0.4407,82174,2022,Delaware,South
0.5111,101027,2022,District of Columbia,South
0.4902,69303,2022,Florida,South
0.4736,72837,2022,Georgia,South
0.4574,92458,2022,Hawaii,West
0.4434,72785,2022,Idaho,West
0.4837,76708,2022,Illinois,Midwest
0.4561,66785,2022,Indiana,Midwest
0.4514,69588,2022,Iowa,Midwest
0.4632,68925,2022,Kansas,Midwest
0.4845,59341,2022,Kentucky,South
0.4915,55416,2022,Louisiana,South
0.4601,69543,2022,Maine,Northeast
0.4589,94991,2022,Maryland,South
0.4976,94488,2022,Massachusetts,Northeast
0.4685,66986,2022,Michigan,Midwest
0.456,82338,2022,Minnesota,Midwest
0.4806,52719,2022,Mississippi,South
0.4687,64811,2022,Missouri,Midwest
0.4652,67631,2022,Montana,West
0.461,69597,2022,Nebraska,Midwest
0.4685,72333,2022,Nevada,West
0.4466,89992,2022,New Hampshire,Northeast
0.4815,96346,2022,New Jersey,Northeast
0.4796,59726,2022,New Mexico,West
0.5208,79557,2022,New York,Northeast
0.4768,67481,2022,North Carolina,South
0.4678,71970,2022,North Dakota,Midwest
0.4691,65720,2022,Ohio,Midwest
0.4743,59673,2022,Oklahoma,South
0.4679,75657,2022,Oregon,West
0.4778,71798,2022,Pennsylvania,Northeast
0.464,81854,2022,Rhode Island,Northeast
0.4757,64115,2022,South Carolina,South
0.4487,69728,2022,South Dakota,Midwest
0.4694,65254,2022,Tennessee,South
0.4796,72284,2022,Texas,South
0.4264,89168,2022,Utah,West
0.4452,73991,2022,Vermont,Northeast
0.4755,85873,2022,Virginia,South
0.4742,91306,2022,Washington,West
0.4804,54329,2022,West Virginia,South
0.451,70996,2022,Wisconsin,Midwest
0.4437,70042,2022,Wyoming,West
0.4771,62212,2023,Alabama,South
0.4492,86631,2023,Alaska,West
0.465,77315,2023,Arizona,West
0.474,58700,2023,Arkansas,South
0.487,95521,2023,California,West
0.4575,92911,2023,Colorado,West
0.4954,91665,2023,Connecticut,Northeast
0.4557,81361,2023,Delaware,South
0.5163,108210,2023,District of Columbia,South
0.4829,73311,2023,Florida,South
0.4787,74632,2023,Georgia,South
0.4512,95322,2023,Hawaii,West
0.4404,74942,2023,Idaho,West
0.481,80306,2023,Illinois,Midwest
0.4536,69477,2023,Indiana,Midwest
0.4464,71433,2023,Iowa,Midwest
0.4518,70333,2023,Kansas,Midwest
0.4759,61118,2023,Kentucky,South
0.4967,58229,2023,Louisiana,South
0.4509,73733,2023,Maine,Northeast
0.4561,98678,2023,Maryland,South
0.4879,99858,2023,Massachusetts,Northeast
0.4658,69183,2023,Michigan,Midwest
0.4541,85086,2023,Minnesota,Midwest
0.4843,54203,2023,Mississippi,South
0.4608,68545,2023,Missouri,Midwest
0.4601,70804,2023,Montana,West
0.4634,74590,2023,Nebraska,Midwest
0.4632,76364,2023,Nevada,West
0.4446,96838,2023,New Hampshire,Northeast
0.4794,99781,2023,New Jersey,Northeast
0.4771,62268,2023,New Mexico,West
0.5157,82095,2023,New York,Northeast
0.4732,70804,2023,North Carolina,South
0.4451,76525,2023,North Dakota,Midwest
0.4695,67769,2023,Ohio,Midwest
0.4737,62138,2023,Oklahoma,South
0.4636,80160,2023,Oregon,West
0.4774,73824,2023,Pennsylvania,Northeast
0.4661,84972,2023,Rhode Island,Northeast
0.4715,67804,2023,South Carolina,South
0.462,71810,2023,South Dakota,Midwest
0.476,67631,2023,Tennessee,South
0.479,75780,2023,Texas,South
0.4225,93421,2023,Utah,West
0.4549,81211,2023,Vermont,Northeast
0.4723,89931,2023,Virginia,South
0.4703,94605,2023,Washington,West
0.4679,55948,2023,West Virginia,South
0.4479,74631,2023,Wisconsin,Midwest
0.4455,72415,2023,Wyoming,West
