Gini_Index,Median_Household_Income,Year,State
0.532,18314,2009,
0.472,40474,2010,Alabama
0.422,64576,2010,Alaska
0.455,46789,2010,Arizona
0.458,38307,2010,Arkansas
0.471,57708,2010,California
0.457,54046,2010,Colorado
0.486,64032,2010,Connecticut
0.44,55847,2010,Delaware
0.532,60903,2010,District of Columbia
0.474,44409,2010,Florida
0.468,46430,2010,Georgia
0.433,63030,2010,Hawaii
0.433,43490,2010,Idaho
0.465,52972,2010,Illinois
0.44,44613,2010,Indiana
0.427,47961,2010,Iowa
0.445,48257,2010,Kansas
0.466,40062,2010,Kentucky
0.475,42505,2010,Louisiana
0.437,45815,2010,Maine
0.443,68854,2010,Maryland
0.475,62072,2010,Massachusetts
0.451,45413,2010,Michigan
0.44,55459,2010,Minnesota
0.468,36851,2010,Mississippi
0.455,44301,2010,Missouri
0.435,42666,2010,Montana
0.432,48408,2010,Nebraska
0.448,51001,2010,Nevada
0.425,61042,2010,New Hampshire
0.464,67681,2010,New Jersey
0.464,42090,2010,New Mexico
0.499,54148,2010,New York
0.464,43326,2010,North Carolina
0.433,48670,2010,North Dakota
0.452,45090,2010,Ohio
0.454,42072,2010,Oklahoma
0.449,46560,2010,Oregon
0.461,49288,2010,Pennsylvania
0.467,52254,2010,Rhode Island
0.461,42018,2010,South Carolina
0.442,45904,2010,South Dakota
0.468,41461,2010,Tennessee
0.469,48615,2010,Texas
0.419,54744,2010,Utah
0.444,49406,2010,Vermont
0.459,60674,2010,Virginia
0.441,55631,2010,Washington
0.451,38218,2010,West Virginia
0.43,49001,2010,Wisconsin
0.423,53512,2010,Wyoming
0.537,18862,2010,
0.4735,41415,2011,Alabama
0.4099,67825,2011,Alaska
0.46,46709,2011,Arizona
0.4684,38758,2011,Arkansas
0.4812,57287,2011,California
0.4588,55387,2011,Colorado
0.4859,65753,2011,Connecticut
0.4404,58814,2011,Delaware
0.5338,63124,2011,District of Columbia
0.4811,44299,2011,Florida
0.477,46007,2011,Georgia
0.4301,61821,2011,Hawaii
0.432,43341,2011,Idaho
0.4718,53234,2011,Illinois
0.4461,46438,2011,Indiana
0.434,49427,2011,Iowa
0.4442,48964,2011,Kansas
0.4709,41141,2011,Kentucky
0.4836,41734,2011,Louisiana
0.4509,46033,2011,Maine
0.4466,70004,2011,Maryland
0.4771,62859,2011,Massachusetts
0.4612,45981,2011,Michigan
0.4436,56954,2011,Minnesota
0.4735,36919,2011,Mississippi
0.4611,45247,2011,Missouri
0.4351,44222,2011,Montana
0.4467,50296,2011,Nebraska
0.4526,48927,2011,Nevada
0.4347,62647,2011,New Hampshire
0.4694,67458,2011,New Jersey
0.4821,41963,2011,New Mexico
0.5033,55246,2011,New York
0.4716,43916,2011,North Carolina
0.4448,51704,2011,North Dakota
0.4594,45749,2011,Ohio
0.4613,43225,2011,Oklahoma
0.4586,46816,2011,Oregon
0.4611,50228,2011,Pennsylvania
0.4674,53636,2011,Rhode Island
0.4648,42367,2011,South Carolina
0.4324,48321,2011,South Dakota
0.4756,41693,2011,Tennessee
0.4771,49392,2011,Texas
0.4249,55869,2011,Utah
0.4308,52776,2011,Vermont
0.4632,61882,2011,Virginia
0.4449,56835,2011,Washington
0.4721,38482,2011,West Virginia
0.437,50395,2011,Wisconsin
0.4081,56322,2011,Wyoming
0.531,18660,2011,
0.4726,41574,2012,Alabama
0.4232,67712,2012,Alaska
0.4608,47826,2012,Arizona
0.4632,40112,2012,Arkansas
0.4822,58328,2012,California
0.4579,56765,2012,Colorado
0.4356,58415,2012,Delaware
0.5343,66583,2012,District of Columbia
0.4915,67276,2012,Connecticut
0.4828,45040,2012,Florida
0.4809,47209,2012,Georgia
0.4302,45489,2012,Idaho
0.4257,66259,2012,Hawaii
0.4716,55137,2012,Illinois
0.4417,46974,2012,Indiana
0.4328,50957,2012,Iowa
0.4496,50241,2012,Kansas
0.4667,41724,2012,Kentucky
0.4859,42944,2012,Louisiana
0.445,46709,2012,Maine
0.4473,71122,2012,Maryland
0.4813,65339,2012,Massachusetts
0.4624,46859,2012,Michigan
0.4441,58906,2012,Minnesota
0.487,37095,2012,Mississippi
0.4608,45321,2012,Missouri
0.4502,45076,2012,Montana
0.4339,50723,2012,Nebraska
0.4516,49760,2012,Nevada
0.4298,63280,2012,New Hampshire
0.4718,69667,2012,New Jersey
0.4713,42558,2012,New Mexico
0.5009,56448,2012,New York
0.4691,45150,2012,North Carolina
0.4597,53585,2012,North Dakota
0.4615,46829,2012,Ohio
0.4643,44312,2012,Oklahoma
0.4565,49161,2012,Oregon
0.4642,51230,2012,Pennsylvania
0.4647,54554,2012,Rhode Island
0.4684,43107,2012,South Carolina
0.4335,48362,2012,South Dakota
0.4732,42764,2012,Tennessee
0.4767,50740,2012,Texas
0.4392,52977,2012,Vermont
0.4244,57049,2012,Utah
0.4661,61741,2012,Virginia
0.4498,57573,2012,Washington
0.4638,40196,2012,West Virginia
0.4401,51059,2012,Wisconsin
0.4166,54901,2012,Wyoming
0.5325,19429,2012,
0.4791,37963,2013,Mississippi
0.4605,46931,2013,Missouri
0.462,46972,2013,Montana
0.4445,51440,2013,Nebraska
0.4543,51230,2013,Nevada
0.4387,64230,2013,New Hampshire
0.48,70165,2013,New Jersey
0.4759,43872,2013,New Mexico
0.5098,57369,2013,New York
0.4765,45906,2013,North Carolina
0.455,55759,2013,North Dakota
0.4652,48081,2013,Ohio
0.4619,45690,2013,Oklahoma
0.46,50251,2013,Oregon
0.4696,52007,2013,Pennsylvania
0.4769,55902,2013,Rhode Island
0.4665,44163,2013,South Carolina
0.4427,48947,2013,South Dakota
0.4783,44297,2013,Tennessee
0.4807,51704,2013,Texas
0.4537,52578,2013,Vermont
0.4259,59770,2013,Utah
0.4672,62666,2013,Virginia
0.4572,58405,2013,Washington
0.4647,41253,2013,West Virginia
0.4446,51467,2013,Wisconsin
0.4183,58752,2013,Wyoming
0.547,19183,2013,
0.4752,42849,2013,Alabama
0.4083,72237,2013,Alaska
0.4681,48510,2013,Arizona
0.4685,40511,2013,Arkansas
0.4903,60190,2013,California
0.4614,58823,2013,Colorado
0.4513,57846,2013,Delaware
0.532,67572,2013,District of Columbia
0.4994,67098,2013,Connecticut
0.4843,46036,2013,Florida
0.4837,47829,2013,Georgia
0.4376,46783,2013,Idaho
0.44,68020,2013,Hawaii
0.4824,56210,2013,Illinois
0.4554,47529,2013,Indiana
0.4429,52229,2013,Iowa
0.4589,50972,2013,Kansas
0.4721,43399,2013,Kentucky
0.4914,44164,2013,Louisiana
0.4532,46974,2013,Maine
0.4555,72483,2013,Maryland
0.4837,66768,2013,Massachusetts
0.4641,48273,2013,Michigan
0.4462,60702,2013,Minnesota
0.4758,42830,2014,Alabama
0.4175,71583,2014,Alaska
0.4676,50068,2014,Arizona
0.4714,41262,2014,Arkansas
0.489,61933,2014,California
0.4584,61303,2014,Colorado
0.4494,59716,2014,Delaware
0.5224,71648,2014,District of Columbia
0.5005,70048,2014,Connecticut
0.4834,47463,2014,Florida
0.4801,49321,2014,Georgia
0.4541,47861,2014,Idaho
0.4325,69592,2014,Hawaii
0.4765,57444,2014,Illinois
0.4455,49446,2014,Indiana
0.4433,53712,2014,Iowa
0.4597,52504,2014,Kansas
